CIK,Wiki
831259,https://en.wikipedia.org/wiki/Freeport-McMoRan
832988,https://en.wikipedia.org/wiki/Signet_Jewelers
833444,https://en.wikipedia.org/wiki/Johnson_Controls
849399,https://en.wikipedia.org/wiki/NortonLifeLock
850209,https://en.wikipedia.org/wiki/Foot_Locker
851968,https://en.wikipedia.org/wiki/Mohawk_Industries
858470,https://en.wikipedia.org/wiki/Cabot_Oil_%26_Gas
858877,https://en.wikipedia.org/wiki/Cisco_Systems
859737,https://en.wikipedia.org/wiki/Hologic
860730,https://en.wikipedia.org/wiki/HCA_Healthcare
861878,https://en.wikipedia.org/wiki/Stericycle
865436,https://en.wikipedia.org/wiki/Whole_Foods_Market
865752,https://en.wikipedia.org/wiki/Monster_Beverage
866787,https://en.wikipedia.org/wiki/AutoZone
872589,https://en.wikipedia.org/wiki/Regeneron_Pharmaceuticals
874716,https://en.wikipedia.org/wiki/Idexx_Laboratories
874761,https://en.wikipedia.org/wiki/AES_Corporation
874766,https://en.wikipedia.org/wiki/The_Hartford
875045,https://en.wikipedia.org/wiki/Biogen
875159,https://en.wikipedia.org/wiki/Axa_XL
875320,https://en.wikipedia.org/wiki/Vertex_Pharmaceuticals
877890,https://en.wikipedia.org/wiki/Citrix_Systems
879101,https://en.wikipedia.org/wiki/Kimco_Realty
882095,https://en.wikipedia.org/wiki/Gilead_Sciences
882184,https://en.wikipedia.org/wiki/D._R._Horton
882835,https://en.wikipedia.org/wiki/Roper_Technologies
884629,https://en.wikipedia.org/wiki/Allergan
884887,https://en.wikipedia.org/wiki/Royal_Caribbean_Cruises
884905,https://en.wikipedia.org/wiki/Praxair
885639,https://en.wikipedia.org/wiki/Kohl%27s
885725,https://en.wikipedia.org/wiki/Boston_Scientific
886158,https://en.wikipedia.org/wiki/Bed_Bath_%26_Beyond
886982,https://en.wikipedia.org/wiki/Goldman_Sachs
891024,https://en.wikipedia.org/wiki/Patterson_Companies
895126,https://en.wikipedia.org/wiki/Chesapeake_Energy
895421,https://en.wikipedia.org/wiki/Morgan_Stanley
895648,https://en.wikipedia.org/wiki/GGP_Inc.
895930,https://en.wikipedia.org/wiki/Envision_Healthcare
896159,https://en.wikipedia.org/wiki/Chubb_Limited
896878,https://en.wikipedia.org/wiki/Intuit
898173,https://en.wikipedia.org/wiki/O%27Reilly_Auto_Parts
899051,https://en.wikipedia.org/wiki/Allstate
899689,https://en.wikipedia.org/wiki/Vornado_Realty_Trust
899866,https://en.wikipedia.org/wiki/Alexion_Pharmaceuticals
906107,https://en.wikipedia.org/wiki/Equity_Residential
908255,https://en.wikipedia.org/wiki/BorgWarner
909832,https://en.wikipedia.org/wiki/Costco
912242,https://en.wikipedia.org/wiki/Macerich
912595,https://en.wikipedia.org/wiki/Mid-America_Apartment_Communities
912615,https://en.wikipedia.org/wiki/Urban_Outfitters
912750,https://en.wikipedia.org/wiki/Newfield_Exploration
914208,https://en.wikipedia.org/wiki/Invesco
915389,https://en.wikipedia.org/wiki/Eastman_Chemical_Company
915912,https://en.wikipedia.org/wiki/AvalonBay_Communities
915913,https://en.wikipedia.org/wiki/Albemarle_Corporation
916076,https://en.wikipedia.org/wiki/Martin_Marietta_Inc.
916365,https://en.wikipedia.org/wiki/Tractor_Supply_Company
920148,https://en.wikipedia.org/wiki/LabCorp
920522,https://en.wikipedia.org/wiki/Essex_Property_Trust
920760,https://en.wikipedia.org/wiki/Lennar_Corporation
922224,https://en.wikipedia.org/wiki/PPL_Corporation
922864,https://en.wikipedia.org/wiki/Aimco
927066,https://en.wikipedia.org/wiki/DaVita_Inc.
927628,https://en.wikipedia.org/wiki/Capital_One
927653,https://en.wikipedia.org/wiki/McKesson_Corporation
935703,https://en.wikipedia.org/wiki/Dollar_Tree
936340,https://en.wikipedia.org/wiki/DTE_Energy
936468,https://en.wikipedia.org/wiki/Lockheed_Martin
940944,https://en.wikipedia.org/wiki/Darden_Restaurants
1000228,https://en.wikipedia.org/wiki/Henry_Schein
1000697,https://en.wikipedia.org/wiki/Waters_Corporation
1001039,https://en.wikipedia.org/wiki/The_Walt_Disney_Company
1001250,https://en.wikipedia.org/wiki/Est%C3%A9e_Lauder_Companies
1002047,https://en.wikipedia.org/wiki/NetApp
1002910,https://en.wikipedia.org/wiki/Ameren
1004434,https://en.wikipedia.org/wiki/Affiliated_Managers_Group
1004980,https://en.wikipedia.org/wiki/Pacific_Gas_and_Electric_Company
1011006,https://en.wikipedia.org/wiki/Yahoo!
1012100,https://en.wikipedia.org/wiki/Sealed_Air
1013871,https://en.wikipedia.org/wiki/NRG_Energy
1014473,https://en.wikipedia.org/wiki/Verisign
1015780,https://en.wikipedia.org/wiki/E-Trade
1018724,https://en.wikipedia.org/wiki/Amazon_(company)
1020569,https://en.wikipedia.org/wiki/Iron_Mountain_(company)
1021860,https://en.wikipedia.org/wiki/National_Oilwell_Varco
1022079,https://en.wikipedia.org/wiki/Quest_Diagnostics
1024305,"https://en.wikipedia.org/wiki/Coty,_Inc."
1024478,https://en.wikipedia.org/wiki/Rockwell_Automation
1031296,https://en.wikipedia.org/wiki/FirstEnergy
1032208,https://en.wikipedia.org/wiki/Sempra_Energy
1035002,https://en.wikipedia.org/wiki/Valero_Energy
1035267,https://en.wikipedia.org/wiki/Intuitive_Surgical
1037038,https://en.wikipedia.org/wiki/Ralph_Lauren_Corporation
1037540,https://en.wikipedia.org/wiki/Boston_Properties
1037646,https://en.wikipedia.org/wiki/Mettler_Toledo
1037868,https://en.wikipedia.org/wiki/Ametek
1038357,https://en.wikipedia.org/wiki/Pioneer_Natural_Resources
1039684,https://en.wikipedia.org/wiki/Oneok
1040971,https://en.wikipedia.org/wiki/SL_Green_Realty
1041061,https://en.wikipedia.org/wiki/Yum!_Brands
1043277,https://en.wikipedia.org/wiki/C._H._Robinson
1043604,https://en.wikipedia.org/wiki/Juniper_Networks
1045609,https://en.wikipedia.org/wiki/Prologis
1045810,https://en.wikipedia.org/wiki/Nvidia
1047122,https://en.wikipedia.org/wiki/Raytheon
1047862,https://en.wikipedia.org/wiki/Consolidated_Edison
1048286,https://en.wikipedia.org/wiki/Marriott_International
1048695,https://en.wikipedia.org/wiki/F5_Networks
1048911,https://en.wikipedia.org/wiki/FedEx
1050915,https://en.wikipedia.org/wiki/Quanta_Services
1051470,https://en.wikipedia.org/wiki/Crown_Castle
1053507,https://en.wikipedia.org/wiki/American_Tower
1056239,https://en.wikipedia.org/wiki/L3_Technologies
1058090,https://en.wikipedia.org/wiki/Chipotle_Mexican_Grill
1058290,https://en.wikipedia.org/wiki/Cognizant
1059556,https://en.wikipedia.org/wiki/Moody%27s_Corporation
1060391,https://en.wikipedia.org/wiki/Republic_Services
1063761,https://en.wikipedia.org/wiki/Simon_Property_Group
1065088,https://en.wikipedia.org/wiki/EBay
1065280,https://en.wikipedia.org/wiki/Netflix
1065696,https://en.wikipedia.org/wiki/LKQ_Corporation
1067701,https://en.wikipedia.org/wiki/United_Rentals
1067983,https://en.wikipedia.org/wiki/Berkshire_Hathaway
1070750,https://en.wikipedia.org/wiki/Host_Hotels_%26_Resorts
1071739,https://en.wikipedia.org/wiki/Centene_Corporation
1075531,https://en.wikipedia.org/wiki/Priceline.com
1086222,https://en.wikipedia.org/wiki/Akamai_Technologies
1087423,https://en.wikipedia.org/wiki/Red_Hat
1090012,https://en.wikipedia.org/wiki/Devon_Energy
1090727,https://en.wikipedia.org/wiki/United_Parcel_Service
1090872,https://en.wikipedia.org/wiki/Agilent_Technologies
1091667,https://en.wikipedia.org/wiki/Charter_Communications
1099219,https://en.wikipedia.org/wiki/MetLife
1099800,https://en.wikipedia.org/wiki/Edwards_Lifesciences
1100962,https://en.wikipedia.org/wiki/Endo_International
1101215,https://en.wikipedia.org/wiki/Alliance_Data
1101239,https://en.wikipedia.org/wiki/Equinix
1103982,https://en.wikipedia.org/wiki/Mondelez_International
1105705,https://en.wikipedia.org/wiki/WarnerMedia
1108524,https://en.wikipedia.org/wiki/Salesforce
1109357,https://en.wikipedia.org/wiki/Exelon
1110783,https://en.wikipedia.org/wiki/Monsanto
1110803,"https://en.wikipedia.org/wiki/Illumina,_Inc."
1111711,https://en.wikipedia.org/wiki/NiSource
1113169,https://en.wikipedia.org/wiki/T._Rowe_Price
1115222,https://en.wikipedia.org/wiki/Dun_%26_Bradstreet
1116132,https://en.wikipedia.org/wiki/Coach_New_York
1120193,"https://en.wikipedia.org/wiki/Nasdaq,_Inc."
1121788,https://en.wikipedia.org/wiki/Garmin
1122304,https://en.wikipedia.org/wiki/Aetna
1123360,https://en.wikipedia.org/wiki/Global_Payments
1124198,https://en.wikipedia.org/wiki/Fluor_Corporation
1126328,https://en.wikipedia.org/wiki/Principal_Financial_Group
1130310,https://en.wikipedia.org/wiki/CenterPoint_Energy
1133421,https://en.wikipedia.org/wiki/Northrop_Grumman
1135152,https://en.wikipedia.org/wiki/TechnipFMC
1136869,https://en.wikipedia.org/wiki/Zimmer_Biomet
1136893,https://en.wikipedia.org/wiki/FIS_(company)
1137411,https://en.wikipedia.org/wiki/Rockwell_Collins
1137774,https://en.wikipedia.org/wiki/Prudential_Financial
1137789,https://en.wikipedia.org/wiki/Seagate_Technology
1138118,https://en.wikipedia.org/wiki/CBRE_Group
1140536,https://en.wikipedia.org/wiki/Willis_Towers_Watson
1140859,https://en.wikipedia.org/wiki/AmerisourceBergen
1141391,https://en.wikipedia.org/wiki/Mastercard
1144215,https://en.wikipedia.org/wiki/Acuity_Brands
1156039,https://en.wikipedia.org/wiki/Anthem_(company)
1156375,https://en.wikipedia.org/wiki/CME_Group
1158449,https://en.wikipedia.org/wiki/Advance_Auto_Parts
1163165,https://en.wikipedia.org/wiki/ConocoPhillips
1164727,https://en.wikipedia.org/wiki/Newmont_Corporation
1166691,https://en.wikipedia.org/wiki/Comcast
1168054,https://en.wikipedia.org/wiki/Cimarex_Energy
1170010,https://en.wikipedia.org/wiki/CarMax
1174922,https://en.wikipedia.org/wiki/Wynn_Resorts
1260221,https://en.wikipedia.org/wiki/TransDigm_Group
1267238,https://en.wikipedia.org/wiki/Assurant
1274494,https://en.wikipedia.org/wiki/First_Solar
1275283,https://en.wikipedia.org/wiki/Reynolds_American
1281761,https://en.wikipedia.org/wiki/Regions_Financial_Corporation
1285785,https://en.wikipedia.org/wiki/The_Mosaic_Company
1289490,https://en.wikipedia.org/wiki/Extra_Space_Storage
1297996,https://en.wikipedia.org/wiki/Digital_Realty
1308161,https://en.wikipedia.org/wiki/21st_Century_Fox
1324404,https://en.wikipedia.org/wiki/CF_Industries
1324424,https://en.wikipedia.org/wiki/Expedia_Group
1326160,https://en.wikipedia.org/wiki/Duke_Energy
1326801,https://en.wikipedia.org/wiki/Facebook
1336917,https://en.wikipedia.org/wiki/Under_Armour
1339947,https://en.wikipedia.org/wiki/Viacom_(2005%E2%80%932019)
1341439,https://en.wikipedia.org/wiki/Oracle_Corporation
1358071,https://en.wikipedia.org/wiki/Concho_Resources
1359841,https://en.wikipedia.org/wiki/Hanesbrands
1361658,https://en.wikipedia.org/wiki/Wyndham_Destinations
1364742,https://en.wikipedia.org/wiki/BlackRock
1365135,https://en.wikipedia.org/wiki/Western_Union
1373835,https://en.wikipedia.org/wiki/Spectra_Energy
1378946,https://en.wikipedia.org/wiki/People%27s_United_Financial
1385157,https://en.wikipedia.org/wiki/TE_Connectivity
1390777,https://en.wikipedia.org/wiki/The_Bank_of_New_York_Mellon
1393311,https://en.wikipedia.org/wiki/Public_Storage
1393612,https://en.wikipedia.org/wiki/Discover_Financial
1396009,https://en.wikipedia.org/wiki/Vulcan_Materials_Company
1403161,https://en.wikipedia.org/wiki/Visa_Inc.
1403568,https://en.wikipedia.org/wiki/Ulta_Beauty
1410636,https://en.wikipedia.org/wiki/American_Water_Works
1413329,https://en.wikipedia.org/wiki/Philip_Morris_International
1418135,https://en.wikipedia.org/wiki/Dr_Pepper_Snapple_Group
1430602,https://en.wikipedia.org/wiki/Scripps_Networks_Interactive
1437107,"https://en.wikipedia.org/wiki/Discovery,_Inc."
1441634,https://en.wikipedia.org/wiki/Broadcom_Inc.
1442145,https://en.wikipedia.org/wiki/Verisk_Analytics
1451505,https://en.wikipedia.org/wiki/Transocean
1452575,https://en.wikipedia.org/wiki/Mead_Johnson
1466258,https://en.wikipedia.org/wiki/Ingersoll-Rand
1467373,https://en.wikipedia.org/wiki/Accenture
1467858,https://en.wikipedia.org/wiki/General_Motors
1489393,https://en.wikipedia.org/wiki/LyondellBasell
1492633,https://en.wikipedia.org/wiki/Nielsen_Holdings
1506307,https://en.wikipedia.org/wiki/Kinder_Morgan
1510295,https://en.wikipedia.org/wiki/Marathon_Petroleum
1519751,https://en.wikipedia.org/wiki/Fortune_Brands_Home_%26_Security
1521332,https://en.wikipedia.org/wiki/Aptiv
1524472,https://en.wikipedia.org/wiki/Xylem_Inc.
1526520,https://en.wikipedia.org/wiki/TripAdvisor
1530721,https://en.wikipedia.org/wiki/Capri_Holdings
1532063,https://en.wikipedia.org/wiki/Express_Scripts
1534701,https://en.wikipedia.org/wiki/Phillips_66
1545158,https://en.wikipedia.org/wiki/Kraft_Heinz
1551152,https://en.wikipedia.org/wiki/AbbVie_Inc.
1551182,https://en.wikipedia.org/wiki/Eaton_Corporation
1555280,https://en.wikipedia.org/wiki/Zoetis
1564708,https://en.wikipedia.org/wiki/News_Corp_(2013%E2%80%93present)
1567892,https://en.wikipedia.org/wiki/Mallinckrodt
1571949,https://en.wikipedia.org/wiki/Intercontinental_Exchange
1579241,https://en.wikipedia.org/wiki/Allegion
1585364,https://en.wikipedia.org/wiki/Perrigo
1593538,https://en.wikipedia.org/wiki/Navient_Corporation
1601712,https://en.wikipedia.org/wiki/Synchrony_Financial
1604778,https://en.wikipedia.org/wiki/Qorvo
1618921,https://en.wikipedia.org/wiki/Walgreens_Boots_Alliance
1633917,https://en.wikipedia.org/wiki/PayPal
1636023,https://en.wikipedia.org/wiki/WestRock
1645590,https://en.wikipedia.org/wiki/Hewlett_Packard_Enterprise
1646383,https://en.wikipedia.org/wiki/CSRA_Inc.
1652044,https://en.wikipedia.org/wiki/Google
1659166,https://en.wikipedia.org/wiki/Fortive
